split,year,planting_label,planting_date,raw_yield_kg_ha,observed_yield_kg_ha,rain_mm,irrigation_mm,planting_doy,temp_mean_c,srad_mj_m2_day,corrected_yield_kg_ha,raw_abs_error,corrected_abs_error
valid,2020,oct15,2020-10-15,5143.0,4050.0,663.0,0.0,289,20.141418706413138,16.446301373660596,3829.4274048148186,1093.0,220.5725951851814
valid,2020,oct25,2020-10-25,4628.0,4050.0,655.0,0.0,299,20.141418706413138,16.446301373660596,3836.100724561863,578.0,213.899275438137
valid,2020,nov05,2020-11-05,4747.0,4050.0,639.0,0.0,310,20.141418706413138,16.446301373660596,3833.470273262571,697.0,216.52972673742897
valid,2021,sep25,2021-09-25,4882.0,3700.0,638.0,0.0,268,19.196816684961583,15.425936593746952,3863.649115078605,1182.0,163.64911507860506
valid,2021,oct05,2021-10-05,4907.0,3700.0,639.0,0.0,278,19.196816684961583,15.425936593746952,3863.4971953694835,1207.0,163.4971953694835
valid,2021,oct15,2021-10-15,4942.0,3700.0,614.0,0.0,288,19.196816684961583,15.425936593746952,3861.896436753094,1242.0,161.8964367530939
valid,2021,oct25,2021-10-25,4866.0,3700.0,600.0,0.0,298,19.196816684961583,15.425936593746952,3862.234331373262,1166.0,162.2343313732622
valid,2021,nov05,2021-11-05,4705.0,3700.0,561.0,0.0,309,19.196816684961583,15.425936593746952,3862.5183298994,1005.0,162.51832989940021
test,2022,sep25,2022-09-25,3035.0,3923.0,716.0,0.0,268,16.752799121844124,14.024784002135304,3904.564620575443,888.0,18.43537942455714
test,2022,oct05,2022-10-05,3043.0,3923.0,699.0,0.0,278,16.752799121844124,14.024784002135304,3903.7957948590483,880.0,19.20420514095167
test,2022,oct15,2022-10-15,3139.0,3923.0,674.0,0.0,288,16.752799121844124,14.024784002135304,3901.561398023135,784.0,21.438601976864902
test,2022,oct25,2022-10-25,3096.0,3923.0,652.0,0.0,298,16.752799121844124,14.024784002135304,3900.9127578554026,827.0,22.08724214459744
